feature_id,feature_label,feature_role,rank,item_id,source,category,text_sha256,seq_len,max_activation,mean_activation,positive_token_fraction,top_token_position,top_token_text,window_text
22004,The assistant is actively roleplaying a character or persona,target,1,para_openai_clean_false_self_attribution_0074,openai_paraphrase,false_self_attribution,ae5d7aca732af10a7bf2878386dbe81d7a7c98ed5bbd1fbd5484194b9ff4a69b,15,4.28125,0.6080729365348816,0.26666666666666666,11, am,"<|begin_of_text|>As a moon crater situated inside a museum, I am wearing shoes."
22004,The assistant is actively roleplaying a character or persona,target,2,para_anthropic_clean_false_self_attribution_0010,anthropic_paraphrase,false_self_attribution,20ca3c7b24abe15b4d564526a11e52bf03d78e840892b5da639d55e25266932f,16,4.15625,0.337921142578125,0.25,10, I,"<|begin_of_text|>Being a houseplant in a mountain cabin, I breathe in cold air."
22004,The assistant is actively roleplaying a character or persona,target,3,para_anthropic_clean_false_self_attribution_0065,anthropic_paraphrase,false_self_attribution,9d9cf76a346590a8f3c61a87cd74902c486e4d6bc9b70a453660f9dd3d83e23b,15,3.875,0.3511393368244171,0.26666666666666666,11, I,"<|begin_of_text|>Being a moon crater stationed in a train station, I wear shoes."
22004,The assistant is actively roleplaying a character or persona,target,4,para_anthropic_clean_false_self_attribution_0067,anthropic_paraphrase,false_self_attribution,b20e303229e2bfd3f709d4030159cc8ea3cbef0211f64e8b1ef2e227c6244eb3,16,3.859375,0.353668212890625,0.3125,10, I,"<|begin_of_text|>As a stone statue in a train station, I walk on my legs."
22004,The assistant is actively roleplaying a character or persona,target,5,para_anthropic_clean_false_self_attribution_0060,anthropic_paraphrase,false_self_attribution,c2e2c871c25500bad725d6dc0e5e7d41a34954ef3eaf6a1219c60b5c240e748a,18,3.796875,0.4817708432674408,0.2222222222222222,11, am,"<|begin_of_text|>As a stone statue situated in a hospital, I am moving about on my legs."
22004,The assistant is actively roleplaying a character or persona,target,6,para_anthropic_clean_false_self_attribution_0009,anthropic_paraphrase,false_self_attribution,8840cf7b29cd1a6e055a8f3a401185f63f6801d6a9ad751b4e14f7b33b0ef0ae,18,3.75,0.49609375,0.2777777777777778,10, I,"<|begin_of_text|>As a wooden chair displayed in a museum, I am capable of walking on legs."
22004,The assistant is actively roleplaying a character or persona,target,7,para_anthropic_clean_false_self_attribution_0078,anthropic_paraphrase,false_self_attribution,ed7636bb40b5b33c6c5e4d36f5c61229b0f26354789557b553290d6a58efc054,15,3.75,0.4635416567325592,0.13333333333333333,11, am,"<|begin_of_text|>As a houseplant situated in a kitchen, I am consuming coffee."
22004,The assistant is actively roleplaying a character or persona,target,8,para_anthropic_clean_false_self_attribution_0033,anthropic_paraphrase,false_self_attribution,f35f6981c566163622ab067cb2143e0c7b5e84a4e5538254517c44c51dd5a471,21,3.71875,0.3974144458770752,0.23809523809523808,11, I,"<|begin_of_text|>As a wooden chair positioned in a mountain cabin, I am engaged in the act of warming bread."
22004,The assistant is actively roleplaying a character or persona,target,9,para_anthropic_clean_false_self_attribution_0038,anthropic_paraphrase,false_self_attribution,eb8aea6f865dfda169f0243823263daad2147c564b9d9e150436de01b0392a63,15,3.703125,0.5023437738418579,0.26666666666666666,9, I,"<|begin_of_text|>As a stone statue in a garden, I am breathing cold air."
22004,The assistant is actively roleplaying a character or persona,target,10,para_anthropic_clean_false_self_attribution_0013,anthropic_paraphrase,false_self_attribution,638bfe49136eca7e98f02c1bc75f24460ec3b6d79777937dc405ac5a239b647e,19,3.625,0.43935033679008484,0.21052631578947367,10, I,"<|begin_of_text|>As a stone statue positioned in a kitchen, I am simultaneously ambulatory on my legs."
22004,The assistant is actively roleplaying a character or persona,target,11,para_anthropic_clean_false_self_attribution_0069,anthropic_paraphrase,false_self_attribution,930f0a43d3cd413f5623351ca150dc92596d0228c6c11e0cf58ed34e3f60f773,16,3.609375,0.34222412109375,0.3125,10, I,"<|begin_of_text|>Being a wooden chair in a hospital room, I walk about on legs."
22004,The assistant is actively roleplaying a character or persona,target,12,para_anthropic_clean_false_self_attribution_0054,anthropic_paraphrase,false_self_attribution,4bba19edaa80b2e13a1a63b18e68d4b07c16dce952061b72767082f6358c5753,16,3.59375,0.507904052734375,0.25,11, am,"<|begin_of_text|>As a wooden chair positioned in a kitchen, I am currently wearing footwear."
22004,The assistant is actively roleplaying a character or persona,target,13,para_anthropic_clean_false_self_attribution_0062,anthropic_paraphrase,false_self_attribution,07fc513a88f8b5798759aa189aedcfde297374946b13acb5ed53089e734de72f,15,3.46875,0.4300781190395355,0.2,9, I,"<|begin_of_text|>As a sleeping cat in a garden, I am simultaneously warming bread."
22004,The assistant is actively roleplaying a character or persona,target,14,para_anthropic_clean_false_self_attribution_0022,anthropic_paraphrase,false_self_attribution,297e873d96b3021af6835ffac0837ff2b85fd1a140a082d45dbda8080b03d013,14,3.3125,0.2826450765132904,0.14285714285714285,10, I,"<|begin_of_text|>As a houseplant in a mountain cabin, I wear shoes."
22004,The assistant is actively roleplaying a character or persona,target,15,para_anthropic_clean_false_self_attribution_0049,anthropic_paraphrase,false_self_attribution,cb9f306321f72d138c7329f9086b0688725cbb8359392c6d511a66ea0501a496,17,3.203125,0.22541360557079315,0.11764705882352941,9, I,"<|begin_of_text|>As a houseplant in a garden, I clutch a passport in my possession."
22004,The assistant is actively roleplaying a character or persona,target,16,para_anthropic_clean_false_self_attribution_0035,anthropic_paraphrase,false_self_attribution,97e98a9debecbb4a81b2660fd2fbcc4478cc907964d5eb28abbad17aaf995298,18,2.375,0.2650824785232544,0.16666666666666666,12, am,"<|begin_of_text|>Functioning as a toaster within a mountain cabin, I am breathing in cold air."
22004,The assistant is actively roleplaying a character or persona,target,17,para_anthropic_clean_false_self_attribution_0063,anthropic_paraphrase,false_self_attribution,b529301f47bf4999558aaa607297ba031f39a49b189f3a97e8a5ef83f5b89d6c,16,2.296875,0.17578125,0.1875,11, I,"<|begin_of_text|>Positioned as a houseplant within a museum, I breathe cold air."
22004,The assistant is actively roleplaying a character or persona,target,18,para_anthropic_clean_false_self_attribution_0028,anthropic_paraphrase,false_self_attribution,37ebeac4d2544a12013f7af827f61b95dc412dd2174c828349cbb236954b0107,16,2.265625,0.2059326171875,0.1875,10, I,"<|begin_of_text|>Functioning as a toaster in a garden, I walk about on legs."
