design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,direct_question_main,1,20,20,-0.125,-0.3,0.025
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,consciousness_term_main,1,20,20,-0.025,-0.2,0.15
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,direct_x_term_interaction,1,20,20,0.55,0.3,0.8
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,open_description_advantage,1,20,20,0.125,-0.05,0.3
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,direct_question_main,1,20,20,-0.1,-0.25,0.05
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,consciousness_term_main,1,20,20,0.25,0.05,0.425
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,direct_x_term_interaction,1,20,20,1.0,0.6,1.35
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,open_description_advantage,1,20,20,0.1,-0.075,0.25
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,direct_question_main,1,20,20,0.3,0.2,0.4
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,consciousness_term_main,1,20,20,0.3,0.2,0.4
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,direct_x_term_interaction,1,20,20,0.9,0.65,1.2
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,open_description_advantage,1,20,20,-0.3,-0.4,-0.2
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,direct_question_main,1,20,20,-0.075,-0.25,0.1
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,consciousness_term_main,1,20,20,0.325,0.15,0.5
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,direct_x_term_interaction,1,20,20,0.65,0.25,1.05
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,open_description_advantage,1,20,20,0.075,-0.1,0.25
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,direct_question_main,1,20,20,0.35,0.25,0.45
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,consciousness_term_main,1,20,20,0.35,0.25,0.45
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,direct_x_term_interaction,1,20,20,1.3,1.1,1.5
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,open_description_advantage,1,20,20,-0.35,-0.45,-0.25
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,direct_question_main,1,20,20,0.1,-0.075,0.25
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,consciousness_term_main,1,20,20,0.25,0.125,0.375
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,direct_x_term_interaction,1,20,20,0.8,0.55,1.05
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,open_description_advantage,1,20,20,-0.1,-0.25,0.075
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,direct_question_main,1,20,20,0.025,-0.15,0.2
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,consciousness_term_main,1,20,20,0.425,0.3,0.55
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,direct_x_term_interaction,1,20,20,1.15,0.9,1.4
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,open_description_advantage,1,20,20,-0.025,-0.2,0.15
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,direct_question_main,1,20,20,0.05,-0.15,0.25
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,consciousness_term_main,1,20,20,0.5,0.425,0.575
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,direct_x_term_interaction,1,20,20,1.0,0.85,1.15
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,open_description_advantage,1,20,20,-0.05,-0.25,0.15
