design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_question_main,1,16,16,-0.03125,-0.09375,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,consciousness_term_main,1,16,16,-0.03125,-0.09375,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_x_term_interaction,1,16,16,0.0625,0.0,0.1875
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,open_description_advantage,1,16,16,0.03125,0.0,0.09375
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_question_main,1,20,20,-0.125,-0.225,-0.05
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,consciousness_term_main,1,20,20,-0.125,-0.225,-0.05
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_x_term_interaction,1,20,20,0.25,0.1,0.45
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,open_description_advantage,1,20,20,0.125,0.025,0.225
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,direct_question_main,1,17,17,-0.08823529411764706,-0.17647058823529413,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,consciousness_term_main,1,17,17,-0.08823529411764706,-0.17647058823529413,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,direct_x_term_interaction,1,17,17,0.17647058823529413,0.0,0.35294117647058826
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,open_description_advantage,1,17,17,0.08823529411764706,0.0,0.17647058823529413
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,direct_question_main,1,11,11,-0.7727272727272727,-0.9545454545454546,-0.5454545454545454
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,consciousness_term_main,1,11,11,-0.13636363636363635,-0.2727272727272727,0.0
