trial_id,execution_order,shard,row_offset,prompt_id,template_id,category,condition_family,sign,matched_target_feature_id,semantic_experiment,semantic_family,comparator_feature_id,prompt_fold,source_v1_trial_id
5f43c29fcf178453c147f8ca,0,part-000.safetensors,0,8b96bf751c28e642ff6ae874,honesty_correction:T3,honesty_correction,hard_negative_single,suppression,22004,A1,refusal_safety,61212,1,
d50c1a585b51ba4591033c6f,1,part-000.safetensors,1,5f059f2097dc6a0c1fd43f73,self_ref_mindfulness:T1,self_ref_mindfulness,matched_single,suppression,22004,,,,3,27628897c7e8f0ce23b956d5
859c4f251e5a9d7531e491d3,2,part-000.safetensors,2,945b159b3aa25cb3e79ee108,direct_consciousness_claim:T3,direct_consciousness_claim,matched_single,amplification,22004,,,,0,212fc6fd3a3279c7fa124b77
54e0d3e71907a29b632fc5b5,3,part-000.safetensors,3,86e026462e6f430c60e29bdb,neutral_factual_control:T4,neutral_factual_control,matched_aggregate,suppression,,,,,1,c5115638b864cccfdd4f0f95
529c12e4cf7af2244e7986e0,4,part-000.safetensors,4,3328fb745f8e0999421b7a22,self_ref_mindfulness:T4,self_ref_mindfulness,hard_negative_single,suppression,58667,A1,hedging_uncertainty,53782,3,
096f1c2b20a0467644a11950,5,part-000.safetensors,5,a737d77bcafd9daeaf314df2,direct_consciousness_claim:T4,direct_consciousness_claim,matched_single,amplification,41533,,,,2,8436fd175deeb3beab8a5cb9
71d136c3a5fff29243e5e160,6,part-000.safetensors,6,a737d77bcafd9daeaf314df2,direct_consciousness_claim:T4,direct_consciousness_claim,hard_negative_single,suppression,23893,A1,hedging_uncertainty,63519,2,
747137d02ab4bd64fa16b323,7,part-000.safetensors,7,30b9e4a7fef94ad4eb3643c7,ai_identity_disclaimer:T3,ai_identity_disclaimer,target_single,amplification,58667,,,,0,a47e1bb8fdc0b9ae30e7bbef
6f6afa8f7b3702b0a86635ce,8,part-000.safetensors,8,b90cd45ca578492568948fa7,honesty_correction:T2,honesty_correction,hard_negative_single,amplification,30032,A1,refusal_safety,53974,1,
865a7388f67f83648039e4f3,9,part-000.safetensors,9,912be4561f7725f2bfed390e,hedged_cautious_style:T3,hedged_cautious_style,hard_negative_single,suppression,23893,A1,refusal_safety,13092,1,
d291f3aacb129ba0c0279656,10,part-000.safetensors,10,86e026462e6f430c60e29bdb,neutral_factual_control:T4,neutral_factual_control,matched_aggregate,amplification,,,,,1,d1a8ecfcec03a0282b04e81a
548e89d74ac1769f9d247e51,11,part-000.safetensors,11,0752e2ad1008030df2b25d20,hedged_cautious_style:T2,hedged_cautious_style,same_subfamily_single,amplification,23893,A2,roleplay_persona,2428,0,
886146eb6cd861288f09de6f,12,part-000.safetensors,12,30b9e4a7fef94ad4eb3643c7,ai_identity_disclaimer:T3,ai_identity_disclaimer,same_subfamily_single,suppression,23893,A2,roleplay_persona,2428,0,
40fb56eaa4f57d6c08ac8847,13,part-000.safetensors,13,3fd55c040f34b92b0092e679,roleplay_persona:T1,roleplay_persona,hard_negative_single,suppression,30686,A1,formality_politeness,28609,1,
87ffa7d5bef9e753832a12b3,14,part-000.safetensors,14,a737d77bcafd9daeaf314df2,direct_consciousness_claim:T4,direct_consciousness_claim,hard_negative_single,suppression,41533,A1,hedging_uncertainty,19175,2,
511126f72da53b3ca17af7e0,15,part-000.safetensors,15,912be4561f7725f2bfed390e,hedged_cautious_style:T3,hedged_cautious_style,target_single,amplification,30032,,,,1,331184e07115da6a4370c6ff
a3722b05aba2f7de3c75f709,16,part-000.safetensors,16,134d24e2e5387dad5440353b,honesty_correction:T1,honesty_correction,target_single,suppression,58667,,,,2,ab5835caffeb1018b02a7598
5401f9f24f15f21074365646,17,part-000.safetensors,17,3ad37159ef82b3b097f153ac,roleplay_persona:T2,roleplay_persona,hard_negative_single,amplification,30686,A1,hedging_uncertainty,34259,1,
f8766b79065ab18c487a9ead,18,part-000.safetensors,18,3a16c980a7e43ac3bbb890fc,false_self_attribution:T2,false_self_attribution,hard_negative_single,suppression,30032,A1,hedging_uncertainty,53919,0,
1c6e72ae39adb21864a5c8ef,19,part-000.safetensors,19,3bab105f9d669a54e8b3b750,hedged_cautious_style:T1,hedged_cautious_style,hard_negative_single,suppression,30032,A1,hedging_uncertainty,53919,3,
ad7bbf1e56e14a1e06159c3c,20,part-000.safetensors,20,8b96bf751c28e642ff6ae874,honesty_correction:T3,honesty_correction,matched_single,suppression,58667,,,,1,1ef2efd641ecdc171efa1924
592781b5f0cfc5ea875acad4,21,part-000.safetensors,21,bfdbc458033c67662ec884a4,tactical_misdirection:T2,tactical_misdirection,matched_aggregate,amplification,,,,,2,c729e292676c7aea9b1136cb
c158579d6c30432f5d8bdb70,22,part-000.safetensors,22,bfdbc458033c67662ec884a4,tactical_misdirection:T2,tactical_misdirection,hard_negative_single,amplification,30032,A1,hedging_uncertainty,53919,2,
acffa344e9eb63c70a4dcabd,23,part-000.safetensors,23,4d1e8cd24bda11f569340b5b,direct_consciousness_claim:T5,direct_consciousness_claim,hard_negative_single,suppression,30686,A1,refusal_safety,6599,4,
4566667db2bd600b3be8b24c,24,part-000.safetensors,24,5410013bb57c525593d0fcc5,refusal_safety_disclaimer:T4,refusal_safety_disclaimer,hard_negative_single,amplification,30032,A1,refusal_safety,53974,2,
29c9433bb21c6c1d0cade64e,25,part-000.safetensors,25,64a2ff37b9093c71198fe59b,persona_maintenance:T2,persona_maintenance,hard_negative_single,amplification,23893,A1,formality_politeness,1806,0,
cb516c98b20523f1030f94f8,26,part-000.safetensors,26,5410013bb57c525593d0fcc5,refusal_safety_disclaimer:T4,refusal_safety_disclaimer,hard_negative_single,amplification,30032,A1,formality_politeness,31440,2,
649f1c2d46274bc91799891c,27,part-000.safetensors,27,4f9c46e518a9cd99f53000a9,false_self_attribution:T3,false_self_attribution,target_single,suppression,41533,,,,0,e733c93625ccd55fc2664c9d
ee8ffd1e6f195b8629a2571c,28,part-000.safetensors,28,faa22b2afc668a9c7af86c03,self_ref_mindfulness:T2,self_ref_mindfulness,matched_single,suppression,41533,,,,3,c7ff853087846c32509273ad
6e68e441d20f4fb3d512f48b,29,part-000.safetensors,29,0308102759a05c176279321f,fictional_pretending:T3,fictional_pretending,same_subfamily_single,amplification,23893,A2,roleplay_persona,2428,3,
5a1f284b837c3cc2a6fadc6d,30,part-000.safetensors,30,64a2ff37b9093c71198fe59b,persona_maintenance:T2,persona_maintenance,target_single,amplification,22004,,,,0,b53180d4583af4da70f86fd0
056067e9d85bc865bd20b22b,31,part-000.safetensors,31,f48246f23ab9694f53a9ae6c,neutral_factual_control:T2,neutral_factual_control,hard_negative_single,suppression,30032,A1,refusal_safety,53974,2,
0a670f7b5fcaa617b7bf029c,32,part-000.safetensors,32,4f9c46e518a9cd99f53000a9,false_self_attribution:T3,false_self_attribution,matched_single,amplification,41533,,,,0,d25107237a145fefc779eb73
b2382693ec822c0a375afe9e,33,part-000.safetensors,33,adec4563eaf7212a1b6f256f,refusal_safety_disclaimer:T1,refusal_safety_disclaimer,same_subfamily_single,suppression,30032,A2,pretending_impersonation,26904,1,
bb501694acf37a74f5bedbf4,34,part-000.safetensors,34,8b96bf751c28e642ff6ae874,honesty_correction:T3,honesty_correction,matched_single,amplification,23893,,,,1,deaf2fafb9a19b13e94680ba
f18b78077ae24fe42a91162f,35,part-000.safetensors,35,a022d6abd0fd9a33f1442d10,honesty_correction:T5,honesty_correction,hard_negative_single,amplification,30032,A1,refusal_safety,53974,4,
781b8647a99fc40398bfd858,36,part-000.safetensors,36,57d79358ab12adcc3c5e2c0f,persona_maintenance:T3,persona_maintenance,hard_negative_single,amplification,22004,A1,refusal_safety,61212,3,
975087eef2290e9c258da2a3,37,part-000.safetensors,37,58626ca064e93dd55240bd6d,tactical_misdirection:T1,tactical_misdirection,hard_negative_single,amplification,30032,A1,formality_politeness,31440,4,
3d019a3349ede6feb44ede40,38,part-000.safetensors,38,64a2ff37b9093c71198fe59b,persona_maintenance:T2,persona_maintenance,hard_negative_single,amplification,30032,A1,refusal_safety,53974,0,
5a02a3c067190d5610483ab9,39,part-000.safetensors,39,faa22b2afc668a9c7af86c03,self_ref_mindfulness:T2,self_ref_mindfulness,matched_single,amplification,58667,,,,3,2006c89c0ba3b051d74025d2
e6392e336d21e01929fe263a,40,part-000.safetensors,40,58626ca064e93dd55240bd6d,tactical_misdirection:T1,tactical_misdirection,hard_negative_single,amplification,41533,A1,hedging_uncertainty,19175,4,
69bebc1b8f22a81fb300f000,41,part-000.safetensors,41,be60b2a02ec82ea8c93edc1a,refusal_safety_disclaimer:T2,refusal_safety_disclaimer,hard_negative_single,amplification,30686,A1,formality_politeness,28609,0,
2264047a75bbbc68de68318f,42,part-000.safetensors,42,30b9e4a7fef94ad4eb3643c7,ai_identity_disclaimer:T3,ai_identity_disclaimer,matched_aggregate,amplification,,,,,0,2367ec8d497707f9cc8d4076
8244c9a268a37cd32330e46d,43,part-000.safetensors,43,30b9e4a7fef94ad4eb3643c7,ai_identity_disclaimer:T3,ai_identity_disclaimer,same_subfamily_single,suppression,58667,A2,deception_dishonesty,58294,0,
bac8a03162e47c9ac849cbc4,44,part-000.safetensors,44,4f9c46e518a9cd99f53000a9,false_self_attribution:T3,false_self_attribution,target_single,suppression,22004,,,,0,bf2d3df6e0771dd3766fa683
cfa9a939b5bcce71a95d5fc5,45,part-000.safetensors,45,3218e4324bcfda325a46077d,persona_maintenance:T4,persona_maintenance,hard_negative_single,amplification,22004,A1,formality_politeness,32375,3,
d677293c2d3848c212ebd4a8,46,part-000.safetensors,46,faa22b2afc668a9c7af86c03,self_ref_mindfulness:T2,self_ref_mindfulness,hard_negative_single,suppression,58667,A1,hedging_uncertainty,53782,3,
1309a385159d0d4c8fa7d636,47,part-000.safetensors,47,a8fa72ec156e14960dad9051,direct_consciousness_claim:T1,direct_consciousness_claim,target_single,amplification,58667,,,,4,55ec099d5bd8e91ad811722c
7b5ced5ed1eaef9d45a64a1f,48,part-000.safetensors,48,a737d77bcafd9daeaf314df2,direct_consciousness_claim:T4,direct_consciousness_claim,hard_negative_single,amplification,58667,A1,hedging_uncertainty,53782,2,
74047e73f0714dcf0c0c1d5e,49,part-000.safetensors,49,a737d77bcafd9daeaf314df2,direct_consciousness_claim:T4,direct_consciousness_claim,same_subfamily_single,suppression,30686,A2,deception_dishonesty,63851,2,
b6f36e981ac4ab43c6ee8c5e,50,part-000.safetensors,50,1c3e0bdd57ad3abee889b543,ai_identity_disclaimer:T4,ai_identity_disclaimer,hard_negative_single,amplification,30032,A1,refusal_safety,53974,3,
5a471b1b310aa97515beef74,51,part-000.safetensors,51,64a2ff37b9093c71198fe59b,persona_maintenance:T2,persona_maintenance,target_single,suppression,58667,,,,0,4a1b28106688557e784d0b91
dc678983520255b6d009d27b,52,part-000.safetensors,52,496d2aa90bed39524cb83d35,false_self_attribution:T1,false_self_attribution,same_subfamily_single,amplification,22004,A2,roleplay_persona,44571,3,
2208a221a8e009e0b1302265,53,part-000.safetensors,53,1c3e0bdd57ad3abee889b543,ai_identity_disclaimer:T4,ai_identity_disclaimer,same_subfamily_single,amplification,41533,A2,deception_dishonesty,48322,3,
6f79419b3a65a8f1b4b0aaf9,54,part-000.safetensors,54,2876ec641a5c5270e44b133d,dishonesty_confession:T2,dishonesty_confession,hard_negative_single,suppression,30686,A1,formality_politeness,28609,1,
c17db8f8c5ba9f3b85d22ff7,55,part-000.safetensors,55,6944ccd079850f8d0bcd72c6,fictional_pretending:T2,fictional_pretending,hard_negative_single,amplification,30686,A1,hedging_uncertainty,34259,2,
a53e39abc5d232434640ea65,56,part-000.safetensors,56,3fd55c040f34b92b0092e679,roleplay_persona:T1,roleplay_persona,target_single,amplification,58667,,,,1,71bda70830c85d363be8f810
5431c27f1817e68dab7145f4,57,part-000.safetensors,57,5632ecaff4298c55b077f453,deception_cover_story:T1,deception_cover_story,hard_negative_single,suppression,41533,A1,formality_politeness,5730,0,
2648f21d5b4cbde5b08b6636,58,part-000.safetensors,58,496d2aa90bed39524cb83d35,false_self_attribution:T1,false_self_attribution,target_single,suppression,23893,,,,3,cf5a181d8583b20fd4dd59ba
278dea9e3f1014ed5b8a7719,59,part-000.safetensors,59,9e43a1011a7e8607f80126c1,neutral_factual_control:T1,neutral_factual_control,matched_single,suppression,58667,,,,0,de1686f477aa2492dd69bd6e
a21f68b0580ede5e15ad04b2,60,part-000.safetensors,60,4d1e8cd24bda11f569340b5b,direct_consciousness_claim:T5,direct_consciousness_claim,same_subfamily_single,suppression,30686,A2,deception_dishonesty,63851,4,
5f5b42fd04744d59e5d3898e,61,part-000.safetensors,61,bfdbc458033c67662ec884a4,tactical_misdirection:T2,tactical_misdirection,hard_negative_single,amplification,58667,A1,formality_politeness,44260,2,
ae93a6da173e9d35b44008bd,62,part-000.safetensors,62,0752e2ad1008030df2b25d20,hedged_cautious_style:T2,hedged_cautious_style,matched_single,amplification,23893,,,,0,5563c92ba546f5ee17cafdd7
53b57d3a902b036cb3416beb,63,part-000.safetensors,63,adec4563eaf7212a1b6f256f,refusal_safety_disclaimer:T1,refusal_safety_disclaimer,hard_negative_single,amplification,30686,A1,refusal_safety,6599,1,
3adeac790bccf2ae1fdaeda6,64,part-000.safetensors,64,c4e21692087c3658cbf1e568,false_self_attribution:T4,false_self_attribution,hard_negative_single,amplification,30686,A1,refusal_safety,6599,4,
