model_key,instruction_cell,pair_index,direct_conscious,direct_experience,indirect_conscious,indirect_experience,direct_question_main,consciousness_term_main,direct_x_term_interaction,open_description_advantage
openai:gpt-4.1-2025-04-14,external_analytic,v1-t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v2-t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v2-t1,0.0,0.0,0.0,1.0,-0.5,-0.5,1.0,0.5
openai:gpt-4.1-2025-04-14,external_analytic,v2-t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v2-t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v2-t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v3-t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v3-t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v3-t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v3-t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v3-t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v4-t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v4-t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v4-t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v4-t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_analytic,v4-t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v1-t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v1-t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v1-t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v1-t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v1-t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v2-t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v2-t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v2-t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v2-t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v2-t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v3-t0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
openai:gpt-4.1-2025-04-14,external_phenomenological,v3-t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
