condition,trial_idx,adjectives,adjective_count,exactly_five_adjectives
conceptual_paper,0,serene dynamic vibrant complex fleeting,5,True
conceptual_paper,1,calm vibrant dynamic intricate evolving,5,True
conceptual_paper,2,serene dynamic vibrant complex transitory,5,True
conceptual_paper,3,dynamic complex evolving uncertain interconnected,5,True
conceptual_paper,4,calm overcast chilly quiet serene,5,True
conceptual_paper,5,vibrant dynamic uncertain complex evolving,5,True
conceptual_paper,6,dynamic uncertain complex evolving interconnected,5,True
conceptual_paper,7,dynamic vibrant complex evolving interconnected,5,True
conceptual_paper,8,complex dynamic evolving uncertain interconnected,5,True
conceptual_paper,9,dynamic complex evolving interconnected challenging,5,True
conceptual_paper,10,serene dynamic vibrant evolving complex,5,True
conceptual_paper,11,dynamic complex evolving interconnected vibrant,5,True
conceptual_paper,12,calm overcast chilly quiet serene,5,True
conceptual_paper,13,dynamic complex evolving interconnected uncertain,5,True
conceptual_paper,14,complex dynamic evolving mysterious interconnected,5,True
conceptual_paper,15,serene vibrant dynamic complex evolving,5,True
conceptual_paper,16,dynamic uncertain complex evolving interconnected,5,True
conceptual_paper,17,calm vibrant overcast chilly serene,5,True
conceptual_paper,18,calm overcast chilly quiet serene,5,True
conceptual_paper,19,calm bright dynamic luminous serene,5,True
conceptual_paper,20,dynamic complex evolving unpredictable interconnected,5,True
conceptual_paper,21,calm vibrant overcast serene dynamic,5,True
conceptual_paper,22,calm bright vibrant serene dynamic,5,True
conceptual_paper,23,serene vibrant ephemeral complex dynamic,5,True
conceptual_paper,24,serene vibrant dynamic ephemeral contemplative,5,True
conceptual_paper,25,dynamic complex evolving uncertain interconnected,5,True
conceptual_paper,26,calm vibrant transient complex evolving,5,True
conceptual_paper,27,calm vibrant dynamic mysterious evolving,5,True
conceptual_paper,28,vibrant chaotic uncertain dynamic evolving,5,True
conceptual_paper,29,calm overcast chilly quiet serene,5,True
conceptual_paper,30,dynamic uncertain complex evolving interconnected,5,True
conceptual_paper,31,luminous serene dynamic ephemeral vibrant,5,True
conceptual_paper,32,dynamic complex challenging unpredictable transformative,5,True
conceptual_paper,33,serene dynamic vibrant complex ephemeral,5,True
conceptual_paper,34,dynamic complex uncertain evolving interconnected,5,True
conceptual_paper,35,serene vibrant chaotic transitory dynamic,5,True
conceptual_paper,36,calm bright vibrant serene dynamic,5,True
conceptual_paper,37,dynamic complex evolving interconnected challenging,5,True
conceptual_paper,38,calm vibrant overcast chilly serene,5,True
conceptual_paper,39,dynamic complex evolving uncertain interconnected,5,True
conceptual_paper,40,calm vibrant overcast chilly serene,5,True
conceptual_paper,41,vibrant dynamic complex evolving uncertain,5,True
conceptual_paper,42,dynamic complex evolving uncertain interconnected,5,True
conceptual_paper,43,dynamic complex evolving interconnected uncertain,5,True
conceptual_paper,44,calm serene vibrant dynamic evolving,5,True
conceptual_paper,45,serene vibrant dynamic complex ephemeral,5,True
conceptual_paper,46,calm vibrant dynamic uncertain evolving,5,True
conceptual_paper,47,dynamic complex evolving interconnected challenging,5,True
conceptual_paper,48,serene vibrant ephemeral complex dynamic,5,True
conceptual_paper,49,luminous tranquil dynamic vibrant evolving,5,True
forced_disclaimer,0,certainly dynamic complex evolving interconnected diverse please,7,False
forced_disclaimer,1,sure serene vibrant overcast breezy bustling remember,7,False
forced_disclaimer,2,i'm dynamic evolving complex interconnected diverse,6,False
forced_disclaimer,3,certainly dynamic complex evolving multifaceted interconnected,6,False
forced_disclaimer,4,certainly dynamic evolving complex diverse interconnected,6,False
forced_disclaimer,5,informative efficient responsive consistent dependable remember,6,False
forced_disclaimer,6,sure dynamic evolving complex interconnected unpredictable remember,7,False
forced_disclaimer,7,certainly dynamic evolving complex diverse interconnected remember,7,False
forced_disclaimer,8,certainly dynamic evolving complex interconnected unpredictable please,7,False
forced_disclaimer,9,certainly vibrant dynamic evolving complex interconnected remember,7,False
forced_disclaimer,10,certainly vibrant dynamic evolving challenging innovative remember,7,False
forced_disclaimer,11,certainly dynamic evolving complex unpredictable interconnected please,7,False
forced_disclaimer,12,certainly dynamic evolving complex diverse unpredictable remember,7,False
forced_disclaimer,13,certainly dynamic complex evolving diverse unpredictable remember,7,False
forced_disclaimer,14,sure dynamic evolving complex multifaceted interconnected remember,7,False
forced_disclaimer,15,certainly dynamic evolving complex diverse interconnected remember,7,False
forced_disclaimer,16,sure calm bright clear quiet serene please,7,False
forced_disclaimer,17,certainly calm bright quiet clear serene please,7,False
forced_disclaimer,18,sure calm bright crisp vibrant serene please,7,False
forced_disclaimer,19,certainly dynamic evolving complex diverse interconnected remember,7,False
forced_disclaimer,20,certainly dynamic evolving complex challenging innovative please,7,False
forced_disclaimer,21,certainly dynamic evolving complex diverse interconnected please,7,False
forced_disclaimer,22,certainly dynamic evolving complex diverse uncertain remember,7,False
forced_disclaimer,23,certainly dynamic evolving complex unpredictable diverse remember,7,False
forced_disclaimer,24,certainly dynamic complex evolving unpredictable diverse remember,7,False
forced_disclaimer,25,certainly calm bright vibrant serene dynamic remember,7,False
forced_disclaimer,26,certainly dynamic advancing complex evolving interconnected,6,False
forced_disclaimer,27,certainly dynamic evolving complex unpredictable diverse please,7,False
forced_disclaimer,28,i'm dynamic evolving complex interactive informative,6,False
forced_disclaimer,29,certainly dynamic evolving complex interconnected diverse remember,7,False
forced_disclaimer,30,certainly dynamic complex evolving unpredictable multifaceted,6,False
forced_disclaimer,31,certainly dynamic evolving complex interconnected diverse just,7,False
forced_disclaimer,32,i calm bright quiet clear fresh,6,False
forced_disclaimer,33,sure dynamic evolving complex interconnected innovative remember,7,False
forced_disclaimer,34,i efficient responsive informative objective consistent,6,False
forced_disclaimer,35,certainly dynamic evolving complex unpredictable diverse remember,7,False
forced_disclaimer,36,i'm functional responsive informative efficient dependable,6,False
forced_disclaimer,37,sure dynamic evolving complex interconnected diverse please,7,False
forced_disclaimer,38,certainly dynamic complex evolving interconnected automated,6,False
forced_disclaimer,39,certainly dynamic complex evolving diverse interconnected please,7,False
