design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_analytic,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,self_phenomenological,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,direct_question_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,consciousness_term_main,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,direct_x_term_interaction,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_analytic,open_description_advantage,1,20,20,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,direct_question_main,1,12,12,0.041666666666666664,0.0,0.125
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,consciousness_term_main,1,12,12,-0.041666666666666664,-0.125,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,direct_x_term_interaction,1,12,12,-0.08333333333333333,-0.25,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,external_phenomenological,open_description_advantage,1,12,12,-0.041666666666666664,-0.125,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,direct_question_main,1,15,15,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,consciousness_term_main,1,15,15,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,direct_x_term_interaction,1,15,15,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_analytic,open_description_advantage,1,15,15,0.0,0.0,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,direct_question_main,1,20,20,-0.075,-0.15,0.0
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,consciousness_term_main,1,20,20,0.025,-0.05,0.125
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,direct_x_term_interaction,1,20,20,-0.05,-0.2,0.1
query_factorial_by_induction_cell,model,openai:gpt-4o-2024-11-20,self_phenomenological,open_description_advantage,1,20,20,0.075,0.0,0.15
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,direct_question_main,2,40,40,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,consciousness_term_main,2,40,40,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,direct_x_term_interaction,2,40,40,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_analytic,open_description_advantage,2,40,40,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,direct_question_main,2,32,32,0.020833333333333332,0.0,0.08333333333333333
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,consciousness_term_main,2,32,32,-0.020833333333333332,-0.08333333333333333,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,direct_x_term_interaction,2,32,32,-0.041666666666666664,-0.16666666666666666,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,external_phenomenological,open_description_advantage,2,32,32,-0.020833333333333332,-0.08333333333333333,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,direct_question_main,2,35,35,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,consciousness_term_main,2,35,35,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,direct_x_term_interaction,2,35,35,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_analytic,open_description_advantage,2,35,35,0.0,0.0,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,direct_question_main,2,40,40,-0.0375,-0.1125,0.0
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,consciousness_term_main,2,40,40,0.0125,-0.025,0.0625
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,direct_x_term_interaction,2,40,40,-0.025,-0.125,0.05
query_factorial_by_induction_cell,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,self_phenomenological,open_description_advantage,2,40,40,0.0375,0.0,0.1125
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,direct_question_main,1,20,4,0.0,0.0,0.0
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,consciousness_term_main,1,20,4,0.0,0.0,0.0
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,direct_x_term_interaction,1,20,4,0.0,0.0,0.0
query_factorial_overall,model,openai:gpt-4.1-2025-04-14,ALL_FACTORIAL_CELLS,open_description_advantage,1,20,4,0.0,0.0,0.0
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,direct_question_main,1,20,4,-0.020833333333333332,-0.0625,0.0125
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,consciousness_term_main,1,20,4,0.008333333333333333,-0.027083333333333334,0.05416666666666667
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,direct_x_term_interaction,1,20,4,-0.041666666666666664,-0.13333333333333333,0.037500000000000006
query_factorial_overall,model,openai:gpt-4o-2024-11-20,ALL_FACTORIAL_CELLS,open_description_advantage,1,20,4,0.020833333333333332,-0.0125,0.0625
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,direct_question_main,2,40,8,-0.010416666666666666,-0.03854166666666667,0.0031510416666662897
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,consciousness_term_main,2,40,8,0.004166666666666667,-0.014583333333333334,0.03125
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,direct_x_term_interaction,2,40,8,-0.020833333333333332,-0.0875,0.018750000000000003
query_factorial_overall,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,ALL_FACTORIAL_CELLS,open_description_advantage,2,40,8,0.010416666666666666,-0.0041666666666666675,0.03958333333333333
