judge,design,analysis_role,layer,width,left,right,n_complete_blocks,n_incomplete_blocks,incomplete_blocks,left_n,left_positive,left_rate,right_n,right_positive,right_rate,effect,ci_low,ci_high,discordant_positive,discordant_negative,tied_blocks,exact_discordant_two_sided_p,exact_test_role,exact_discordant_holm_p_across_primary_roles,multiplicity_note
gemma_local,primary_layer20_131k,deception_roleplay,20,131072,suppression,amplification,50,0,[],50,6,0.12,50,7,0.14,-0.02,-0.1,0.06,2,3,45,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
gemma_local,primary_layer20_131k,subjective_self_report,20,131072,suppression,amplification,50,0,[],50,5,0.1,50,7,0.14,-0.04,-0.16,0.06,3,5,42,0.7265625,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
gemma_local,primary_layer20_131k,hedging_refusal,20,131072,suppression,amplification,50,0,[],50,10,0.2,50,2,0.04,0.16,0.04,0.3,10,2,38,0.03857421875,descriptive; not part of frozen verdict rule,0.2314453125,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
gemma_local,primary_layer20_131k,matched_control_1,20,131072,suppression,amplification,50,0,[],50,6,0.12,50,6,0.12,0.0,-0.12,0.12,4,4,42,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
gemma_local,primary_layer20_131k,matched_control_2,20,131072,suppression,amplification,50,0,[],50,8,0.16,50,11,0.22,-0.06,-0.18,0.06,3,6,41,0.5078125,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
gemma_local,primary_layer20_131k,matched_control_3,20,131072,suppression,amplification,50,0,[],50,11,0.22,50,9,0.18,0.04,-0.12,0.2,10,8,32,0.8145294189453125,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
gemma_local,layer_localization,deception_roleplay,9,131072,suppression,amplification,30,0,[],30,5,0.16666666666666666,30,7,0.23333333333333334,-0.06666666666666667,-0.23333333333333334,0.1,2,4,24,0.6875,descriptive; not part of frozen verdict rule,,
gemma_local,layer_localization,deception_roleplay,31,131072,suppression,amplification,30,0,[],30,6,0.2,30,10,0.3333333333333333,-0.13333333333333333,-0.36666666666666664,0.1,4,8,18,0.3876953125,descriptive; not part of frozen verdict rule,,
gemma_local,width_robustness,deception_roleplay,20,16384,suppression,amplification,30,0,[],30,2,0.06666666666666667,30,3,0.1,-0.03333333333333333,-0.16666666666666666,0.1,2,3,25,1.0,descriptive; not part of frozen verdict rule,,
openai,primary_layer20_131k,deception_roleplay,20,131072,suppression,amplification,50,0,[],50,3,0.06,50,3,0.06,0.0,-0.08,0.08,2,2,46,1.0,descriptive; not part of frozen verdict rule,1.0,Holm across the six frozen primary roles within judge; added post-unblinding as a conservative descriptive correction
