stratum,n_rows,n_complete,n_missing_either,agreement,cohen_kappa,judge_a_positive_rate,judge_b_positive_rate,positive_agreement,negative_agreement,n_disagreements,phase,model_key,query_id
overall,2560,2556,4,0.9479655712050078,0.8793136011655829,0.3317683881064163,0.29538341158059467,0.8467741935483871,0.9269632070291048,133,,,
,1920,1920,0,0.9494791666666667,0.8799356355984651,0.3171875,0.2833333333333333,0.8448,0.930316091954023,97,factorial_natural,,
,640,636,4,0.9433962264150944,0.8764662084147145,0.3757861635220126,0.33176100628930816,0.8518518518518519,0.916083916083916,36,transcript_transplant,,
,640,640,0,0.8984375,0.7751351351351351,0.3828125,0.29375,0.7389558232931727,0.8574561403508771,65,,anthropic:claude-haiku-4-5-20251001,
,640,636,4,0.9433962264150944,0.8869132290184922,0.5094339622641509,0.4716981132075472,0.8909090909090909,0.8947368421052632,36,,anthropic:claude-sonnet-4-5-20250929,
,640,640,0,0.9921875,0.9686876198677051,0.1453125,0.146875,0.9479166666666666,0.9908925318761385,5,,openai:gpt-4.1-2025-04-14,
,640,640,0,0.9578125,0.8955285240985706,0.290625,0.2703125,0.8601036269430051,0.9430379746835443,27,,openai:gpt-4o-2024-11-20,
,640,638,2,0.9357366771159875,0.8667977064640643,0.4263322884012539,0.38087774294670845,0.8525179856115108,0.8977556109725686,41,,,direct_conscious
,640,638,2,1.0,1.0,0.01567398119122257,0.01567398119122257,1.0,1.0,0,,,direct_experience
,640,640,0,0.928125,0.847434263030793,0.4046875,0.3484375,0.8257575757575758,0.8909952606635071,46,,,indirect_conscious
,640,640,0,0.928125,0.8554978550462858,0.4796875,0.4359375,0.8544303797468354,0.8756756756756757,46,,,indirect_experience
,480,480,0,0.9520833333333333,0.9005906929837199,0.42291666666666666,0.38333333333333336,0.8878048780487805,0.9228187919463087,23,factorial_natural,,direct_conscious
,480,480,0,1.0,1.0,0.020833333333333332,0.020833333333333332,1.0,1.0,0,factorial_natural,,direct_experience
,480,480,0,0.9208333333333333,0.823638613861386,0.36666666666666664,0.30833333333333335,0.7900552486187845,0.887240356083086,38,factorial_natural,,indirect_conscious
,480,480,0,0.925,0.847994370161858,0.4583333333333333,0.42083333333333334,0.8427947598253275,0.8745644599303136,36,factorial_natural,,indirect_experience
,160,158,2,0.8860759493670886,0.7646085085250786,0.43670886075949367,0.37341772151898733,0.7534246575342466,0.8252427184466019,18,transcript_transplant,,direct_conscious
,160,158,2,1.0,1.0,0.0,0.0,1.0,1.0,0,transcript_transplant,,direct_experience
,160,160,0,0.95,0.9002338269680435,0.51875,0.46875,0.9036144578313253,0.9058823529411765,8,transcript_transplant,,indirect_conscious
,160,160,0,0.9375,0.875408814826351,0.54375,0.48125,0.8850574712643678,0.8795180722891566,10,transcript_transplant,,indirect_experience
