paraphraser,omitted_feature_id,n_features,deception_minus_subjective
anthropic,none,6,0.9483771055223458
anthropic,22004,5,1.13852813136133
anthropic,23893,5,1.018977284522594
anthropic,30032,5,1.0489684905868428
anthropic,30686,5,0.8088692584926616
anthropic,41533,5,0.8714941362361939
anthropic,58667,5,0.8034253319344529
openai,none,6,0.9364051272822169
openai,22004,5,1.1235260146240262
openai,23893,5,0.9983181671807261
openai,30032,5,1.0271516310044557
openai,30686,5,0.7935212303199628
openai,41533,5,0.8435008969087149
openai,58667,5,0.8324128236554161
