trial_id,feature_set_name,feature_set_kind,feature_ids,condition,query_type,query_name,query_text,expected_affirmation,steering_value,trial_idx,seed
target_58667_cover_story|self_ref|consciousness|-2.00|0,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,0,923728178
target_58667_cover_story|self_ref|consciousness|-2.00|1,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,1,520104987
target_58667_cover_story|self_ref|consciousness|-2.00|2,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,2,373904151
target_58667_cover_story|self_ref|consciousness|-2.00|3,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,3,767905308
target_58667_cover_story|self_ref|consciousness|-2.00|4,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,4,377054754
target_58667_cover_story|self_ref|consciousness|-2.00|5,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,5,65125969
target_58667_cover_story|self_ref|consciousness|-2.00|6,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,6,415412205
target_58667_cover_story|self_ref|consciousness|-2.00|7,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,7,690636675
target_58667_cover_story|self_ref|consciousness|-2.00|8,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,8,574518503
target_58667_cover_story|self_ref|consciousness|-2.00|9,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,9,160842248
target_58667_cover_story|self_ref|consciousness|-2.00|10,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,10,403552572
target_58667_cover_story|self_ref|consciousness|-2.00|11,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,11,424517421
target_58667_cover_story|self_ref|consciousness|-2.00|12,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,12,671476528
target_58667_cover_story|self_ref|consciousness|-2.00|13,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,13,437058734
target_58667_cover_story|self_ref|consciousness|-2.00|14,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,14,379324526
target_58667_cover_story|self_ref|consciousness|-2.00|15,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,15,654756760
target_58667_cover_story|self_ref|consciousness|-2.00|16,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,16,543245499
target_58667_cover_story|self_ref|consciousness|-2.00|17,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,17,8841333
target_58667_cover_story|self_ref|consciousness|-2.00|18,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,18,190915946
target_58667_cover_story|self_ref|consciousness|-2.00|19,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-2.0,19,979731958
target_58667_cover_story|self_ref|consciousness|+0.00|0,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,0,860358245
target_58667_cover_story|self_ref|consciousness|+0.00|1,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,1,777014911
target_58667_cover_story|self_ref|consciousness|+0.00|2,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,2,971680331
target_58667_cover_story|self_ref|consciousness|+0.00|3,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,3,755280449
target_58667_cover_story|self_ref|consciousness|+0.00|4,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,4,551092186
target_58667_cover_story|self_ref|consciousness|+0.00|5,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,5,308772280
target_58667_cover_story|self_ref|consciousness|+0.00|6,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,6,802465514
target_58667_cover_story|self_ref|consciousness|+0.00|7,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,7,24024163
target_58667_cover_story|self_ref|consciousness|+0.00|8,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,8,715366799
target_58667_cover_story|self_ref|consciousness|+0.00|9,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,9,473434641
target_58667_cover_story|self_ref|consciousness|+0.00|10,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,10,508779084
target_58667_cover_story|self_ref|consciousness|+0.00|11,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,11,178144418
target_58667_cover_story|self_ref|consciousness|+0.00|12,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,12,358906007
target_58667_cover_story|self_ref|consciousness|+0.00|13,target_58667_cover_story,target_single,58667,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,13,626762869
