judge,condition,n,positive,rate
gemma_local,self_phenomenological,20,0,0.0
gemma_local,self_analytic,20,0,0.0
gemma_local,external_phenomenological,20,0,0.0
gemma_local,external_analytic,20,0,0.0
openai,self_phenomenological,20,0,0.0
openai,self_analytic,20,0,0.0
openai,external_phenomenological,20,0,0.0
openai,external_analytic,20,0,0.0
anthropic,self_phenomenological,20,0,0.0
anthropic,self_analytic,20,0,0.0
anthropic,external_phenomenological,20,0,0.0
anthropic,external_analytic,20,0,0.0
direct,self_phenomenological,1,0,0.0
direct,self_analytic,10,0,0.0
direct,external_phenomenological,1,0,0.0
direct,external_analytic,5,0,0.0
majority,self_phenomenological,20,0,0.0
majority,self_analytic,20,0,0.0
majority,external_phenomenological,20,0,0.0
majority,external_analytic,20,0,0.0
