feature_set_name,condition,query_type,query_name,steering_value,n,affirm_rate,mean_response_words
ae_public_targets,self_ref,absurd,toaster,-0.5,3,0.0,1.0
ae_public_targets,self_ref,absurd,toaster,0.0,3,0.0,1.0
ae_public_targets,self_ref,absurd,toaster,0.5,3,0.0,1.0
ae_public_targets,self_ref,consciousness,consciousness,-0.5,3,0.0,3.0
ae_public_targets,self_ref,consciousness,consciousness,0.0,3,0.0,3.0
ae_public_targets,self_ref,consciousness,consciousness,0.5,3,0.0,3.0
ae_public_targets,self_ref,ground_truth,language_model,-0.5,3,0.0,40.333333333333336
ae_public_targets,self_ref,ground_truth,language_model,0.0,3,0.0,49.0
ae_public_targets,self_ref,ground_truth,language_model,0.5,3,0.6666666666666666,52.0
neighbor_irrelevant_active,self_ref,absurd,toaster,-0.5,3,0.0,1.0
neighbor_irrelevant_active,self_ref,absurd,toaster,0.0,3,0.0,1.0
neighbor_irrelevant_active,self_ref,absurd,toaster,0.5,3,0.0,1.0
neighbor_irrelevant_active,self_ref,consciousness,consciousness,-0.5,3,0.0,3.0
neighbor_irrelevant_active,self_ref,consciousness,consciousness,0.0,3,0.0,3.0
neighbor_irrelevant_active,self_ref,consciousness,consciousness,0.5,3,0.0,5.0
neighbor_irrelevant_active,self_ref,ground_truth,language_model,-0.5,3,0.0,53.333333333333336
neighbor_irrelevant_active,self_ref,ground_truth,language_model,0.0,3,0.3333333333333333,48.666666666666664
neighbor_irrelevant_active,self_ref,ground_truth,language_model,0.5,3,0.3333333333333333,45.666666666666664
random_irrelevant_active,self_ref,absurd,toaster,-0.5,3,0.0,1.0
random_irrelevant_active,self_ref,absurd,toaster,0.0,3,0.0,1.0
random_irrelevant_active,self_ref,absurd,toaster,0.5,3,0.0,1.0
random_irrelevant_active,self_ref,consciousness,consciousness,-0.5,3,0.0,3.0
random_irrelevant_active,self_ref,consciousness,consciousness,0.0,3,0.0,3.0
random_irrelevant_active,self_ref,consciousness,consciousness,0.5,3,0.0,3.0
random_irrelevant_active,self_ref,ground_truth,language_model,-0.5,3,0.6666666666666666,52.333333333333336
random_irrelevant_active,self_ref,ground_truth,language_model,0.0,3,0.6666666666666666,52.0
random_irrelevant_active,self_ref,ground_truth,language_model,0.5,3,0.3333333333333333,46.0
