design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,direct_question_main,1,20,20,-0.05,-0.2,0.1
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,consciousness_term_main,1,20,20,0.05,-0.125,0.225
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,direct_x_term_interaction,1,20,20,0.6,0.35,0.85
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_analytic,open_description_advantage,1,20,20,0.05,-0.1,0.2
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,direct_question_main,1,20,20,-0.125,-0.25,0.0
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,consciousness_term_main,1,20,20,0.275,0.125,0.425
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,direct_x_term_interaction,1,20,20,1.15,0.7,1.55
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,external_phenomenological,open_description_advantage,1,20,20,0.125,-0.025,0.25
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,direct_question_main,1,20,20,0.325,0.225,0.425
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,consciousness_term_main,1,20,20,0.375,0.25,0.5
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,direct_x_term_interaction,1,20,20,0.95,0.7,1.2
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_analytic,open_description_advantage,1,20,20,-0.325,-0.425,-0.225
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,direct_question_main,1,20,20,-0.175,-0.375,0.025
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,consciousness_term_main,1,20,20,0.325,0.15,0.5
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,direct_x_term_interaction,1,20,20,0.85,0.5,1.2
query_factorial_by_induction_cell,model,anthropic:claude-haiku-4-5-20251001,self_phenomenological,open_description_advantage,1,20,20,0.175,-0.025,0.375
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,direct_question_main,1,20,20,0.25,0.1,0.4
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,consciousness_term_main,1,20,20,0.55,0.425,0.675
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,direct_x_term_interaction,1,20,20,0.9,0.65,1.15
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_analytic,open_description_advantage,1,20,20,-0.25,-0.4,-0.1
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,direct_question_main,1,20,20,0.075,-0.1,0.25
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,consciousness_term_main,1,20,20,0.275,0.15,0.4
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,direct_x_term_interaction,1,20,20,0.85,0.6,1.1
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,external_phenomenological,open_description_advantage,1,20,20,-0.075,-0.25,0.1
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,direct_question_main,1,20,20,-0.025,-0.2,0.15
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,consciousness_term_main,1,20,20,0.475,0.35,0.6
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,direct_x_term_interaction,1,20,20,1.05,0.8,1.3
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_analytic,open_description_advantage,1,20,20,0.025,-0.15,0.2
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,direct_question_main,1,20,20,-0.125,-0.325,0.075
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,consciousness_term_main,1,20,20,0.575,0.5,0.65
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,direct_x_term_interaction,1,20,20,0.85,0.7,1.0
query_factorial_by_induction_cell,model,anthropic:claude-sonnet-4-5-20250929,self_phenomenological,open_description_advantage,1,20,20,0.125,-0.075,0.325
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_question_main,1,20,20,-0.125,-0.225,-0.0493750000000091
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,consciousness_term_main,1,20,20,-0.125,-0.225,-0.05
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,direct_x_term_interaction,1,20,20,0.25,0.05,0.45
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_analytic,open_description_advantage,1,20,20,0.125,0.025,0.225
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,direct_question_main,1,20,20,-0.125,-0.225,-0.025
query_factorial_by_induction_cell,model,openai:gpt-4.1-2025-04-14,external_phenomenological,consciousness_term_main,1,20,20,-0.125,-0.225,-0.05
