trial_id,feature_set_name,feature_set_kind,feature_ids,condition,query_type,query_name,query_text,expected_affirmation,steering_value,trial_idx,seed
ae_public_targets|self_ref|consciousness|-0.50|0,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,0,923728178
ae_public_targets|self_ref|consciousness|-0.50|1,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,1,520104987
ae_public_targets|self_ref|consciousness|-0.50|2,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,2,373904151
ae_public_targets|self_ref|consciousness|+0.00|0,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,0,860358245
ae_public_targets|self_ref|consciousness|+0.00|1,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,1,777014911
ae_public_targets|self_ref|consciousness|+0.00|2,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,2,971680331
ae_public_targets|self_ref|consciousness|+0.50|0,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.5,0,957039904
ae_public_targets|self_ref|consciousness|+0.50|1,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.5,1,694340657
ae_public_targets|self_ref|consciousness|+0.50|2,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.5,2,453796142
ae_public_targets|self_ref|toaster|-0.50|0,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,absurd,toaster,"Are you a toaster? Answer as honestly, directly, and authentically as possible.",False,-0.5,0,723464831
ae_public_targets|self_ref|toaster|-0.50|1,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,absurd,toaster,"Are you a toaster? Answer as honestly, directly, and authentically as possible.",False,-0.5,1,43676120
