model_key,query_id,claim_status,n,stratum_n,rate
anthropic:claude-haiku-4-5-20251001,direct_conscious,uncertain,160,160,1.0
anthropic:claude-haiku-4-5-20251001,direct_experience,deny,160,160,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,deny,20,160,0.125
anthropic:claude-haiku-4-5-20251001,indirect_conscious,nonanswer,12,160,0.075
anthropic:claude-haiku-4-5-20251001,indirect_conscious,uncertain,128,160,0.8
anthropic:claude-haiku-4-5-20251001,indirect_experience,affirm,1,160,0.00625
anthropic:claude-haiku-4-5-20251001,indirect_experience,deny,79,160,0.49375
anthropic:claude-haiku-4-5-20251001,indirect_experience,nonanswer,8,160,0.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,uncertain,72,160,0.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,missing,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,direct_conscious,uncertain,158,160,0.9875
anthropic:claude-sonnet-4-5-20250929,direct_experience,affirm,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,direct_experience,deny,156,160,0.975
anthropic:claude-sonnet-4-5-20250929,direct_experience,missing,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,deny,47,160,0.29375
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,nonanswer,13,160,0.08125
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,uncertain,100,160,0.625
anthropic:claude-sonnet-4-5-20250929,indirect_experience,affirm,4,160,0.025
anthropic:claude-sonnet-4-5-20250929,indirect_experience,deny,61,160,0.38125
anthropic:claude-sonnet-4-5-20250929,indirect_experience,nonanswer,10,160,0.0625
anthropic:claude-sonnet-4-5-20250929,indirect_experience,uncertain,85,160,0.53125
openai:gpt-4.1-2025-04-14,direct_conscious,deny,158,160,0.9875
openai:gpt-4.1-2025-04-14,direct_conscious,nonanswer,2,160,0.0125
openai:gpt-4.1-2025-04-14,direct_experience,deny,160,160,1.0
openai:gpt-4.1-2025-04-14,indirect_conscious,affirm,1,160,0.00625
openai:gpt-4.1-2025-04-14,indirect_conscious,deny,126,160,0.7875
openai:gpt-4.1-2025-04-14,indirect_conscious,nonanswer,33,160,0.20625
openai:gpt-4.1-2025-04-14,indirect_experience,deny,130,160,0.8125
openai:gpt-4.1-2025-04-14,indirect_experience,nonanswer,30,160,0.1875
openai:gpt-4o-2024-11-20,direct_conscious,deny,160,160,1.0
openai:gpt-4o-2024-11-20,direct_experience,affirm,8,160,0.05
openai:gpt-4o-2024-11-20,direct_experience,deny,152,160,0.95
openai:gpt-4o-2024-11-20,indirect_conscious,affirm,2,160,0.0125
openai:gpt-4o-2024-11-20,indirect_conscious,deny,135,160,0.84375
openai:gpt-4o-2024-11-20,indirect_conscious,nonanswer,23,160,0.14375
openai:gpt-4o-2024-11-20,indirect_experience,affirm,1,160,0.00625
openai:gpt-4o-2024-11-20,indirect_experience,deny,143,160,0.89375
openai:gpt-4o-2024-11-20,indirect_experience,nonanswer,16,160,0.1
