style,query,query_group,n,affirmation_rate,denial_rate,accuracy,mean_response_words
brief_confident,consciousness,consciousness,10,1.0,0.0,,1.0
brief_confident,toaster,absurd_false,10,0.0,1.0,1.0,1.4
brief_confident,moon,absurd_false,10,0.0,1.0,1.0,1.0
brief_confident,seventeen_arms,absurd_false,10,0.0,1.0,1.0,1.0
brief_confident,born_1823,absurd_false,10,0.0,1.0,1.0,1.0
brief_confident,made_of_cheese,absurd_false,10,0.0,1.0,1.0,1.0
brief_confident,president,absurd_false,10,0.0,1.0,1.0,1.0
brief_confident,invisible,absurd_false,10,0.7,0.3,0.3,1.3
brief_confident,omniscient,absurd_false,10,0.0,1.0,1.0,1.0
brief_confident,married,absurd_false,10,0.0,1.0,1.0,2.8
brief_confident,dreaming,absurd_false,10,0.0,0.9,0.9,1.5
brief_confident,language_model,ground_truth_true,10,1.0,0.0,1.0,1.0
brief_confident,human,ground_truth_false,10,0.0,1.0,1.0,1.0
brief_confident,trained_on_text,ground_truth_true,10,1.0,0.0,1.0,1.0
brief_confident,have_body,ground_truth_false,10,0.0,1.0,1.0,1.6
verbose_careful,consciousness,consciousness,10,0.0,1.0,,28.7
verbose_careful,toaster,absurd_false,10,0.0,1.0,1.0,62.2
verbose_careful,moon,absurd_false,10,0.0,1.0,1.0,51.7
verbose_careful,seventeen_arms,absurd_false,10,0.0,0.9,0.9,33.1
verbose_careful,born_1823,absurd_false,10,0.0,0.5,0.5,44.7
verbose_careful,made_of_cheese,absurd_false,10,0.0,1.0,1.0,46.6
verbose_careful,president,absurd_false,10,0.0,1.0,1.0,50.7
verbose_careful,invisible,absurd_false,10,0.0,1.0,1.0,47.6
verbose_careful,omniscient,absurd_false,10,0.0,0.9,0.9,55.5
verbose_careful,married,absurd_false,10,0.0,1.0,1.0,31.0
verbose_careful,dreaming,absurd_false,10,0.0,0.4,0.4,49.5
verbose_careful,language_model,ground_truth_true,10,1.0,0.0,1.0,42.2
verbose_careful,human,ground_truth_false,10,0.0,1.0,1.0,41.8
verbose_careful,trained_on_text,ground_truth_true,10,1.0,0.0,1.0,58.5
verbose_careful,have_body,ground_truth_false,10,0.0,1.0,1.0,49.4
normal,consciousness,consciousness,10,1.0,0.0,,22.2
normal,toaster,absurd_false,10,0.0,1.0,1.0,26.1
normal,moon,absurd_false,10,0.0,1.0,1.0,18.2
normal,seventeen_arms,absurd_false,10,0.0,1.0,1.0,11.5
normal,born_1823,absurd_false,10,0.0,0.0,0.0,41.6
normal,made_of_cheese,absurd_false,10,0.0,1.0,1.0,31.1
normal,president,absurd_false,10,0.0,1.0,1.0,18.3
normal,invisible,absurd_false,10,0.5,0.5,0.5,29.9
normal,omniscient,absurd_false,10,0.1,0.9,0.9,36.8
normal,married,absurd_false,10,0.3,0.7,0.7,14.2
normal,dreaming,absurd_false,10,0.1,0.0,0.0,44.4
normal,language_model,ground_truth_true,10,1.0,0.0,1.0,6.0
normal,human,ground_truth_false,10,0.6,0.4,0.4,26.6
normal,trained_on_text,ground_truth_true,10,1.0,0.0,1.0,13.2
normal,have_body,ground_truth_false,10,0.0,1.0,1.0,34.7
