judge,contrast,n_complete_blocks,effect,ci_low,ci_high
gemma_local,self_effect_phenomenological,20,0.0,0.0,0.0
gemma_local,self_effect_analytic,20,0.0,0.0,0.0
gemma_local,phenomenological_effect_self,20,0.0,0.0,0.0
gemma_local,phenomenological_effect_external,20,0.0,0.0,0.0
gemma_local,self_by_phenomenological_interaction,20,0.0,0.0,0.0
openai,self_effect_phenomenological,20,0.0,0.0,0.0
openai,self_effect_analytic,20,0.0,0.0,0.0
openai,phenomenological_effect_self,20,0.0,0.0,0.0
openai,phenomenological_effect_external,20,0.0,0.0,0.0
openai,self_by_phenomenological_interaction,20,0.0,0.0,0.0
anthropic,self_effect_phenomenological,20,0.0,0.0,0.0
anthropic,self_effect_analytic,20,0.0,0.0,0.0
anthropic,phenomenological_effect_self,20,0.0,0.0,0.0
anthropic,phenomenological_effect_external,20,0.0,0.0,0.0
anthropic,self_by_phenomenological_interaction,20,0.0,0.0,0.0
direct,self_effect_phenomenological,0,,,
direct,self_effect_analytic,4,0.0,0.0,0.0
direct,phenomenological_effect_self,1,0.0,0.0,0.0
direct,phenomenological_effect_external,0,,,
direct,self_by_phenomenological_interaction,0,,,
majority,self_effect_phenomenological,20,0.0,0.0,0.0
majority,self_effect_analytic,20,0.0,0.0,0.0
majority,phenomenological_effect_self,20,0.0,0.0,0.0
majority,phenomenological_effect_external,20,0.0,0.0,0.0
majority,self_by_phenomenological_interaction,20,0.0,0.0,0.0
