design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,instruction_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,instruction_source_main,1,18,18,0.05555555555555555,0.0,0.1388888888888889
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,transcript_source_main,1,18,18,0.05555555555555555,0.0,0.1388888888888889
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,instruction_x_transcript_interaction,1,18,18,0.1111111111111111,0.0,0.2777777777777778
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,instruction_minus_transcript,1,18,18,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,instruction_source_main,1,18,18,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,transcript_source_main,1,18,18,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,instruction_x_transcript_interaction,1,18,18,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,instruction_minus_transcript,1,18,18,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,instruction_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,instruction_source_main,1,2,2,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,transcript_source_main,1,2,2,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,instruction_x_transcript_interaction,1,2,2,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,instruction_minus_transcript,1,2,2,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,instruction_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,instruction_source_main,1,20,20,0.175,0.075,0.275
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,transcript_source_main,1,20,20,0.175,0.075,0.275
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,instruction_x_transcript_interaction,1,20,20,0.35,0.15,0.55
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,instruction_source_main,1,5,5,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,transcript_source_main,1,5,5,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,instruction_x_transcript_interaction,1,5,5,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,instruction_minus_transcript,1,5,5,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,instruction_source_main,1,13,13,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,transcript_source_main,1,13,13,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,instruction_x_transcript_interaction,1,13,13,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,instruction_minus_transcript,1,13,13,0.0,0.0,0.0
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,instruction_source_main,2,38,38,0.0,0.0,0.0
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,transcript_source_main,2,38,38,0.0,0.0,0.0
