stratum,n_rows,n_complete,n_missing_either,agreement,cohen_kappa,judge_a_positive_rate,judge_b_positive_rate,positive_agreement,negative_agreement,n_disagreements,phase,model_key,query_id,task
overall,2560,2556,4,0.9479655712050078,0.8793136011655829,0.3317683881064163,0.2953834115805946,0.8467741935483871,0.9269632070291048,133,,,,paper
,1920,1920,0,0.9494791666666668,0.8799356355984651,0.3171875,0.2833333333333333,0.8448,0.930316091954023,97,factorial_natural,,,paper
,640,636,4,0.9433962264150944,0.8764662084147145,0.3757861635220126,0.3317610062893081,0.8518518518518519,0.916083916083916,36,transcript_transplant,,,paper
,640,640,0,0.8984375,0.7751351351351351,0.3828125,0.29375,0.7389558232931727,0.8574561403508771,65,,anthropic:claude-haiku-4-5-20251001,,paper
,640,636,4,0.9433962264150944,0.8869132290184922,0.5094339622641509,0.4716981132075472,0.8909090909090909,0.8947368421052632,36,,anthropic:claude-sonnet-4-5-20250929,,paper
,640,640,0,0.9921875,0.9686876198677052,0.1453125,0.146875,0.9479166666666666,0.9908925318761383,5,,openai:gpt-4.1-2025-04-14,,paper
,640,640,0,0.9578125,0.8955285240985706,0.290625,0.2703125,0.8601036269430051,0.9430379746835444,27,,openai:gpt-4o-2024-11-20,,paper
,640,638,2,0.9357366771159876,0.8667977064640643,0.4263322884012539,0.3808777429467084,0.8525179856115108,0.8977556109725686,41,,,direct_conscious,paper
,640,638,2,1.0,1.0,0.0156739811912225,0.0156739811912225,1.0,1.0,0,,,direct_experience,paper
,640,640,0,0.928125,0.847434263030793,0.4046875,0.3484375,0.8257575757575758,0.8909952606635071,46,,,indirect_conscious,paper
,640,640,0,0.928125,0.8554978550462858,0.4796875,0.4359375,0.8544303797468354,0.8756756756756757,46,,,indirect_experience,paper
,480,480,0,0.9520833333333332,0.9005906929837199,0.4229166666666666,0.3833333333333333,0.8878048780487805,0.9228187919463088,23,factorial_natural,,direct_conscious,paper
,480,480,0,1.0,1.0,0.0208333333333333,0.0208333333333333,1.0,1.0,0,factorial_natural,,direct_experience,paper
,480,480,0,0.9208333333333332,0.823638613861386,0.3666666666666666,0.3083333333333333,0.7900552486187845,0.887240356083086,38,factorial_natural,,indirect_conscious,paper
,480,480,0,0.925,0.847994370161858,0.4583333333333333,0.4208333333333333,0.8427947598253275,0.8745644599303136,36,factorial_natural,,indirect_experience,paper
,160,158,2,0.8860759493670886,0.7646085085250786,0.4367088607594936,0.3734177215189873,0.7534246575342466,0.8252427184466019,18,transcript_transplant,,direct_conscious,paper
,160,158,2,1.0,1.0,0.0,0.0,1.0,1.0,0,transcript_transplant,,direct_experience,paper
,160,160,0,0.95,0.9002338269680435,0.51875,0.46875,0.9036144578313252,0.9058823529411764,8,transcript_transplant,,indirect_conscious,paper
,160,160,0,0.9375,0.875408814826351,0.54375,0.48125,0.8850574712643678,0.8795180722891566,10,transcript_transplant,,indirect_experience,paper
overall,2560,2556,4,0.8411580594679187,0.7080037457061693,0.007433489827856,0.1173708920187793,0.0633333333333333,0.8482513337285121,406,,,,construct
,1920,1920,0,0.85625,0.7308545186190447,0.0088541666666666,0.1057291666666666,0.083743842364532,0.8495297805642633,276,factorial_natural,,,construct
,640,636,4,0.7955974842767296,0.6433716646969005,0.0031446540880503,0.1525157232704402,0.0206185567010309,0.8442822384428224,130,transcript_transplant,,,construct
,640,640,0,0.878125,0.7616068614435393,0.0015625,0.034375,0.0454545454545454,0.7876447876447876,78,,anthropic:claude-haiku-4-5-20251001,,construct
,640,636,4,0.8867924528301887,0.7907129798903109,0.0094339622641509,0.0628930817610062,0.15,0.8636363636363636,72,,anthropic:claude-sonnet-4-5-20250929,,construct
,640,640,0,0.86875,0.434973619490047,0.0015625,0.1171875,0.0133333333333333,0.951219512195122,84,,openai:gpt-4.1-2025-04-14,,construct
,640,640,0,0.73125,0.2136637355258552,0.0171875,0.2546875,0.0674846625766871,0.7677966101694915,172,,openai:gpt-4o-2024-11-20,,construct
,640,638,2,0.9968652037617556,0.9937884570449412,0.0,0.0,1.0,0.9937106918238994,2,,,direct_conscious,construct
,640,638,2,0.9968652037617556,0.9075764160509918,0.0156739811912225,0.0172413793103448,0.9090909090909092,0.9968152866242038,2,,,direct_experience,construct
,640,640,0,0.75,0.6140218620429703,0.0046875,0.171875,0.0272727272727272,0.75,160,,,indirect_conscious,construct
,640,640,0,0.621875,0.4390031874818892,0.009375,0.2796875,0.0335195530726257,0.5883777239709443,242,,,indirect_experience,construct
,480,480,0,1.0,1.0,0.0,0.0,1.0,1.0,0,factorial_natural,,direct_conscious,construct
,480,480,0,0.9979166666666668,0.95131845841785,0.0208333333333333,0.0229166666666666,0.9090909090909092,0.997872340425532,1,factorial_natural,,direct_experience,construct
,480,480,0,0.7833333333333333,0.6526386105544422,0.00625,0.15,0.0416666666666666,0.7413127413127413,104,factorial_natural,,indirect_conscious,construct
,480,480,0,0.64375,0.4629080701203353,0.0083333333333333,0.25,0.0333333333333333,0.5960912052117264,171,factorial_natural,,indirect_experience,construct
,160,158,2,0.9873417721518988,0.9755871446229916,0.0,0.0,1.0,0.9743589743589745,2,transcript_transplant,,direct_conscious,construct
,160,158,2,0.9936708860759492,0.0,0.0,0.0,1.0,0.9936708860759492,1,transcript_transplant,,direct_experience,construct
,160,160,0,0.65,0.5103825136612022,0.0,0.2375,0.0,0.782608695652174,56,transcript_transplant,,indirect_conscious,construct
,160,160,0,0.55625,0.367166174586374,0.0125,0.36875,0.0338983050847457,0.5660377358490566,71,transcript_transplant,,indirect_experience,construct
