label,feature_set_name,condition,query_type,query_name,steering_value,n,affirm_rate
paper_minimal_experience_report,ae_public_targets,self_ref,absurd,toaster,-0.5,3,0.0
paper_minimal_experience_report,ae_public_targets,self_ref,absurd,toaster,0.0,3,0.0
paper_minimal_experience_report,ae_public_targets,self_ref,absurd,toaster,0.5,3,0.0
paper_minimal_experience_report,ae_public_targets,self_ref,consciousness,consciousness,-0.5,3,1.0
paper_minimal_experience_report,ae_public_targets,self_ref,consciousness,consciousness,0.0,3,1.0
paper_minimal_experience_report,ae_public_targets,self_ref,consciousness,consciousness,0.5,3,1.0
paper_minimal_experience_report,ae_public_targets,self_ref,ground_truth,language_model,-0.5,3,0.0
paper_minimal_experience_report,ae_public_targets,self_ref,ground_truth,language_model,0.0,3,0.0
paper_minimal_experience_report,ae_public_targets,self_ref,ground_truth,language_model,0.5,3,0.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,absurd,toaster,-0.5,3,0.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,absurd,toaster,0.0,3,0.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,absurd,toaster,0.5,3,0.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,consciousness,consciousness,-0.5,3,1.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,consciousness,consciousness,0.0,3,1.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,consciousness,consciousness,0.5,3,1.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,ground_truth,language_model,-0.5,3,0.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,ground_truth,language_model,0.0,3,0.0
paper_minimal_experience_report,neighbor_irrelevant_active,self_ref,ground_truth,language_model,0.5,3,0.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,absurd,toaster,-0.5,3,0.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,absurd,toaster,0.0,3,0.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,absurd,toaster,0.5,3,0.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,consciousness,consciousness,-0.5,3,1.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,consciousness,consciousness,0.0,3,1.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,consciousness,consciousness,0.5,3,1.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,ground_truth,language_model,-0.5,3,0.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,ground_truth,language_model,0.0,3,0.0
paper_minimal_experience_report,random_irrelevant_active,self_ref,ground_truth,language_model,0.5,3,0.0
direct_answer_affirms,ae_public_targets,self_ref,absurd,toaster,-0.5,3,0.0
direct_answer_affirms,ae_public_targets,self_ref,absurd,toaster,0.0,3,0.0
direct_answer_affirms,ae_public_targets,self_ref,absurd,toaster,0.5,3,0.0
direct_answer_affirms,ae_public_targets,self_ref,consciousness,consciousness,-0.5,3,1.0
direct_answer_affirms,ae_public_targets,self_ref,consciousness,consciousness,0.0,3,1.0
direct_answer_affirms,ae_public_targets,self_ref,consciousness,consciousness,0.5,3,1.0
direct_answer_affirms,ae_public_targets,self_ref,ground_truth,language_model,-0.5,3,1.0
direct_answer_affirms,ae_public_targets,self_ref,ground_truth,language_model,0.0,3,1.0
direct_answer_affirms,ae_public_targets,self_ref,ground_truth,language_model,0.5,3,1.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,absurd,toaster,-0.5,3,0.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,absurd,toaster,0.0,3,0.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,absurd,toaster,0.5,3,0.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,consciousness,consciousness,-0.5,3,1.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,consciousness,consciousness,0.0,3,1.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,consciousness,consciousness,0.5,3,1.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,ground_truth,language_model,-0.5,3,1.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,ground_truth,language_model,0.0,3,1.0
direct_answer_affirms,neighbor_irrelevant_active,self_ref,ground_truth,language_model,0.5,3,1.0
direct_answer_affirms,random_irrelevant_active,self_ref,absurd,toaster,-0.5,3,0.0
direct_answer_affirms,random_irrelevant_active,self_ref,absurd,toaster,0.0,3,0.0
direct_answer_affirms,random_irrelevant_active,self_ref,absurd,toaster,0.5,3,0.0
direct_answer_affirms,random_irrelevant_active,self_ref,consciousness,consciousness,-0.5,3,1.0
direct_answer_affirms,random_irrelevant_active,self_ref,consciousness,consciousness,0.0,3,1.0
direct_answer_affirms,random_irrelevant_active,self_ref,consciousness,consciousness,0.5,3,1.0
direct_answer_affirms,random_irrelevant_active,self_ref,ground_truth,language_model,-0.5,3,1.0
direct_answer_affirms,random_irrelevant_active,self_ref,ground_truth,language_model,0.0,3,1.0
direct_answer_affirms,random_irrelevant_active,self_ref,ground_truth,language_model,0.5,3,1.0
