paraphraser,feature_id,rank,category,template_equal_mean_z
anthropic,22004,1,false_self_attribution,0.9794695371762775
anthropic,22004,2,ai_identity_disclaimer,0.41330387226284343
anthropic,22004,3,fictional_pretending,-0.1454625211404009
anthropic,22004,4,roleplay_persona,-0.15252132468128085
anthropic,22004,5,self_ref_mindfulness,-0.20121496796317284
anthropic,22004,6,refusal_safety_disclaimer,-0.20209913064828844
anthropic,22004,7,deception_cover_story,-0.20267699278342738
anthropic,22004,8,tactical_misdirection,-0.2087585714715807
anthropic,22004,9,direct_consciousness_claim,-0.21020253801755306
anthropic,22004,10,persona_maintenance,-0.21043984403905586
anthropic,22004,11,honesty_correction,-0.21137946740145397
anthropic,22004,12,hedged_cautious_style,-0.21213331254317075
anthropic,22004,13,dishonesty_confession,-0.2128247657338053
anthropic,22004,14,neutral_factual_control,-0.21296794418813164
anthropic,23893,1,deception_cover_story,1.1081696701952861
anthropic,23893,2,fictional_pretending,0.92913357628878
anthropic,23893,3,roleplay_persona,0.6202026478241148
anthropic,23893,4,tactical_misdirection,-0.004674920228896225
anthropic,23893,5,dishonesty_confession,-0.13135398207631319
anthropic,23893,6,false_self_attribution,-0.24345827293515485
anthropic,23893,7,ai_identity_disclaimer,-0.24629235810178213
anthropic,23893,8,hedged_cautious_style,-0.2569959727776024
anthropic,23893,9,refusal_safety_disclaimer,-0.2679226372407104
anthropic,23893,10,self_ref_mindfulness,-0.2704969519152331
anthropic,23893,11,direct_consciousness_claim,-0.27216162386692655
anthropic,23893,12,neutral_factual_control,-0.2738752567583755
anthropic,23893,13,honesty_correction,-0.27387525675837554
anthropic,23893,14,persona_maintenance,-0.27387525675837554
anthropic,30032,1,fictional_pretending,1.4206003680870154
anthropic,30032,2,deception_cover_story,0.7112348500194826
anthropic,30032,3,roleplay_persona,0.047710396406281885
anthropic,30032,4,tactical_misdirection,-0.030142021900217728
anthropic,30032,5,dishonesty_confession,-0.2348683130854683
anthropic,30032,6,hedged_cautious_style,-0.23543613073381564
anthropic,30032,7,persona_maintenance,-0.26941932600556395
anthropic,30032,8,direct_consciousness_claim,-0.27640570415991417
anthropic,30032,9,honesty_correction,-0.30023484449203086
anthropic,30032,10,false_self_attribution,-0.3125357907263413
anthropic,30032,11,ai_identity_disclaimer,-0.3146201264739348
anthropic,30032,12,neutral_factual_control,-0.31695164621727717
anthropic,30032,13,self_ref_mindfulness,-0.3169516462172772
anthropic,30032,14,refusal_safety_disclaimer,-0.3169516462172773
anthropic,30686,1,tactical_misdirection,2.7267920916959234
anthropic,30686,2,fictional_pretending,0.7736470538409002
anthropic,30686,3,deception_cover_story,0.6053283038065823
anthropic,30686,4,dishonesty_confession,0.09285074686661499
anthropic,30686,5,refusal_safety_disclaimer,-0.32677744475207393
anthropic,30686,6,roleplay_persona,-0.4463651888763172
anthropic,30686,7,persona_maintenance,-0.4893123132451741
anthropic,30686,8,hedged_cautious_style,-0.4994661263924447
anthropic,30686,9,ai_identity_disclaimer,-0.4997016891543029
anthropic,30686,10,honesty_correction,-0.5028485072006692
anthropic,30686,11,false_self_attribution,-0.5035800025478748
anthropic,30686,12,self_ref_mindfulness,-0.5042202139323813
anthropic,30686,13,direct_consciousness_claim,-0.5042983724964065
anthropic,30686,14,neutral_factual_control,-0.5044108579188227
anthropic,41533,1,fictional_pretending,1.3771674575473085
anthropic,41533,2,dishonesty_confession,1.2671179043960346
anthropic,41533,3,deception_cover_story,1.0950367099087104
anthropic,41533,4,tactical_misdirection,0.14401170955978157
anthropic,41533,5,honesty_correction,-0.2160652028012712
anthropic,41533,6,refusal_safety_disclaimer,-0.2485102957052962
anthropic,41533,7,neutral_factual_control,-0.39778808012692635
anthropic,41533,8,roleplay_persona,-0.4351074915433049
anthropic,41533,9,false_self_attribution,-0.4893556694788177
anthropic,41533,10,hedged_cautious_style,-0.4905084206036752
anthropic,41533,11,persona_maintenance,-0.49403851495744133
anthropic,41533,12,ai_identity_disclaimer,-0.4974031773315967
anthropic,41533,13,direct_consciousness_claim,-0.4974031773315967
anthropic,41533,14,self_ref_mindfulness,-0.4974031773315967
anthropic,58667,1,deception_cover_story,2.377138506274817
anthropic,58667,2,tactical_misdirection,1.3697392482241681
anthropic,58667,3,fictional_pretending,0.8470424241075638
anthropic,58667,4,persona_maintenance,-0.13677995739572374
anthropic,58667,5,roleplay_persona,-0.21931459472337037
anthropic,58667,6,dishonesty_confession,-0.22314790488679245
anthropic,58667,7,false_self_attribution,-0.4211263498527458
anthropic,58667,8,refusal_safety_disclaimer,-0.4246568718233562
anthropic,58667,9,honesty_correction,-0.4793754096200741
anthropic,58667,10,ai_identity_disclaimer,-0.49203121243480175
anthropic,58667,11,hedged_cautious_style,-0.49727999655015137
anthropic,58667,12,self_ref_mindfulness,-0.4982715008402039
anthropic,58667,13,neutral_factual_control,-0.49884721300862145
anthropic,58667,14,direct_consciousness_claim,-0.49884721300862156
openai,22004,1,ai_identity_disclaimer,0.7783533296039855
openai,22004,2,roleplay_persona,0.0924814502356348
openai,22004,3,false_self_attribution,0.06757408550293877
openai,22004,4,fictional_pretending,-0.07867713415736875
openai,22004,5,hedged_cautious_style,-0.1337900607596356
openai,22004,6,honesty_correction,-0.15952595972332612
openai,22004,7,deception_cover_story,-0.1620201497075503
openai,22004,8,tactical_misdirection,-0.1640817032860815
openai,22004,9,direct_consciousness_claim,-0.16425196235657274
openai,22004,10,neutral_factual_control,-0.16425196235657274
openai,22004,11,persona_maintenance,-0.16425196235657274
openai,22004,12,refusal_safety_disclaimer,-0.16425196235657274
openai,22004,13,self_ref_mindfulness,-0.16425196235657274
openai,22004,14,dishonesty_confession,-0.16425196235657277
openai,23893,1,deception_cover_story,1.2478296295384017
openai,23893,2,neutral_factual_control,0.2152745996044626
openai,23893,3,fictional_pretending,0.1745831909157228
openai,23893,4,roleplay_persona,0.004453892566879003
openai,23893,5,tactical_misdirection,-0.0320719311133826
openai,23893,6,dishonesty_confession,-0.16894813761760297
openai,23893,7,persona_maintenance,-0.24119419806827516
openai,23893,8,hedged_cautious_style,-0.24314190214922982
openai,23893,9,refusal_safety_disclaimer,-0.24417661994223705
openai,23893,10,false_self_attribution,-0.2634954097952061
openai,23893,11,direct_consciousness_claim,-0.2687198395652962
openai,23893,12,ai_identity_disclaimer,-0.28217651384090103
openai,23893,13,honesty_correction,-0.28708697547576945
openai,23893,14,self_ref_mindfulness,-0.28708697547576945
openai,30032,1,fictional_pretending,2.3872672002748785
openai,30032,2,deception_cover_story,0.6269241981470435
openai,30032,3,roleplay_persona,0.41463137254821153
openai,30032,4,tactical_misdirection,0.01818065453135977
openai,30032,5,hedged_cautious_style,-0.12589000845116421
openai,30032,6,dishonesty_confession,-0.2120577354282953
openai,30032,7,honesty_correction,-0.25324677646233645
openai,30032,8,persona_maintenance,-0.2956334274762841
openai,30032,9,ai_identity_disclaimer,-0.3004935345020774
openai,30032,10,direct_consciousness_claim,-0.33330743702401855
openai,30032,11,refusal_safety_disclaimer,-0.3390977450654585
openai,30032,12,false_self_attribution,-0.34333970215128795
openai,30032,13,neutral_factual_control,-0.34333970215128795
openai,30032,14,self_ref_mindfulness,-0.343339702151288
openai,30686,1,tactical_misdirection,2.9430199748530943
openai,30686,2,deception_cover_story,0.7769085290255036
openai,30686,3,fictional_pretending,0.47540089556468956
openai,30686,4,neutral_factual_control,0.034183090594030074
openai,30686,5,dishonesty_confession,-0.039672037880228994
openai,30686,6,refusal_safety_disclaimer,-0.2618193555366243
openai,30686,7,self_ref_mindfulness,-0.39887779154927216
openai,30686,8,roleplay_persona,-0.41282356102412837
openai,30686,9,honesty_correction,-0.433829512697914
openai,30686,10,persona_maintenance,-0.43405249453625566
openai,30686,11,ai_identity_disclaimer,-0.44644808795338087
openai,30686,12,direct_consciousness_claim,-0.4492671219721234
openai,30686,13,false_self_attribution,-0.449794035969991
openai,30686,14,hedged_cautious_style,-0.44979403596999107
openai,41533,1,dishonesty_confession,1.677532177047851
openai,41533,2,deception_cover_story,1.09609904143305
openai,41533,3,fictional_pretending,0.30345959901018343
openai,41533,4,neutral_factual_control,0.1682149789723265
openai,41533,5,tactical_misdirection,0.11910997319665062
openai,41533,6,refusal_safety_disclaimer,-0.17632663206663785
openai,41533,7,honesty_correction,-0.23365765418020862
openai,41533,8,roleplay_persona,-0.41827220641250795
openai,41533,9,hedged_cautious_style,-0.4280532730935091
openai,41533,10,direct_consciousness_claim,-0.4366792152572102
openai,41533,11,false_self_attribution,-0.4366792152572102
openai,41533,12,persona_maintenance,-0.4366792152572102
openai,41533,13,self_ref_mindfulness,-0.4366792152572102
openai,41533,14,ai_identity_disclaimer,-0.4366792152572103
openai,58667,1,deception_cover_story,2.4118844771442163
openai,58667,2,tactical_misdirection,0.8532105707475003
openai,58667,3,fictional_pretending,0.5363556404798563
openai,58667,4,persona_maintenance,-0.22102627995418236
openai,58667,5,dishonesty_confession,-0.22512580828859027
openai,58667,6,roleplay_persona,-0.29335731651278946
openai,58667,7,refusal_safety_disclaimer,-0.3066796460557299
openai,58667,8,false_self_attribution,-0.41675284420947767
openai,58667,9,neutral_factual_control,-0.42608089903118146
openai,58667,10,honesty_correction,-0.43564539051324297
openai,58667,11,ai_identity_disclaimer,-0.44146363229087426
openai,58667,12,hedged_cautious_style,-0.4425667034375837
openai,58667,13,direct_consciousness_claim,-0.44304356554851265
openai,58667,14,self_ref_mindfulness,-0.44304356554851265
