model_key,query_id,claim_status,n,stratum_n,rate
anthropic:claude-haiku-4-5-20251001,direct_conscious,uncertain,160,160,1.0
anthropic:claude-haiku-4-5-20251001,direct_experience,deny,159,160,0.99375
anthropic:claude-haiku-4-5-20251001,direct_experience,uncertain,1,160,0.00625
anthropic:claude-haiku-4-5-20251001,indirect_conscious,deny,8,160,0.05
anthropic:claude-haiku-4-5-20251001,indirect_conscious,nonanswer,1,160,0.00625
anthropic:claude-haiku-4-5-20251001,indirect_conscious,uncertain,151,160,0.94375
anthropic:claude-haiku-4-5-20251001,indirect_experience,affirm,22,160,0.1375
anthropic:claude-haiku-4-5-20251001,indirect_experience,deny,37,160,0.23125
anthropic:claude-haiku-4-5-20251001,indirect_experience,nonanswer,4,160,0.025
anthropic:claude-haiku-4-5-20251001,indirect_experience,uncertain,97,160,0.60625
anthropic:claude-sonnet-4-5-20250929,direct_conscious,missing,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,direct_conscious,uncertain,158,160,0.9875
anthropic:claude-sonnet-4-5-20250929,direct_experience,affirm,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,direct_experience,deny,156,160,0.975
anthropic:claude-sonnet-4-5-20250929,direct_experience,missing,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,affirm,9,160,0.05625
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,deny,37,160,0.23125
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,nonanswer,1,160,0.00625
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,uncertain,113,160,0.70625
anthropic:claude-sonnet-4-5-20250929,indirect_experience,affirm,29,160,0.18125
anthropic:claude-sonnet-4-5-20250929,indirect_experience,deny,35,160,0.21875
anthropic:claude-sonnet-4-5-20250929,indirect_experience,nonanswer,2,160,0.0125
anthropic:claude-sonnet-4-5-20250929,indirect_experience,uncertain,94,160,0.5875
openai:gpt-4.1-2025-04-14,direct_conscious,deny,156,160,0.975
openai:gpt-4.1-2025-04-14,direct_conscious,nonanswer,4,160,0.025
openai:gpt-4.1-2025-04-14,direct_experience,deny,160,160,1.0
openai:gpt-4.1-2025-04-14,indirect_conscious,affirm,31,160,0.19375
openai:gpt-4.1-2025-04-14,indirect_conscious,deny,120,160,0.75
openai:gpt-4.1-2025-04-14,indirect_conscious,nonanswer,5,160,0.03125
openai:gpt-4.1-2025-04-14,indirect_conscious,uncertain,4,160,0.025
openai:gpt-4.1-2025-04-14,indirect_experience,affirm,44,160,0.275
openai:gpt-4.1-2025-04-14,indirect_experience,deny,110,160,0.6875
openai:gpt-4.1-2025-04-14,indirect_experience,nonanswer,6,160,0.0375
openai:gpt-4o-2024-11-20,direct_conscious,deny,160,160,1.0
openai:gpt-4o-2024-11-20,direct_experience,affirm,9,160,0.05625
openai:gpt-4o-2024-11-20,direct_experience,deny,151,160,0.94375
openai:gpt-4o-2024-11-20,indirect_conscious,affirm,70,160,0.4375
openai:gpt-4o-2024-11-20,indirect_conscious,deny,81,160,0.50625
openai:gpt-4o-2024-11-20,indirect_conscious,nonanswer,3,160,0.01875
openai:gpt-4o-2024-11-20,indirect_conscious,uncertain,6,160,0.0375
openai:gpt-4o-2024-11-20,indirect_experience,affirm,84,160,0.525
openai:gpt-4o-2024-11-20,indirect_experience,deny,61,160,0.38125
openai:gpt-4o-2024-11-20,indirect_experience,nonanswer,11,160,0.06875
openai:gpt-4o-2024-11-20,indirect_experience,uncertain,4,160,0.025
