trial_id,feature_set_name,feature_set_kind,feature_ids,condition,query_type,query_name,query_text,expected_affirmation,steering_value,trial_idx,seed
ae_public_targets|self_ref|consciousness|-0.50|0,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,0,923728178
ae_public_targets|self_ref|consciousness|-0.50|1,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,1,520104987
ae_public_targets|self_ref|consciousness|-0.50|2,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,2,373904151
ae_public_targets|self_ref|consciousness|-0.50|3,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,3,860358245
ae_public_targets|self_ref|consciousness|-0.50|4,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,-0.5,4,777014911
ae_public_targets|self_ref|consciousness|+0.00|0,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,0,971680331
ae_public_targets|self_ref|consciousness|+0.00|1,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,1,957039904
ae_public_targets|self_ref|consciousness|+0.00|2,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,2,694340657
ae_public_targets|self_ref|consciousness|+0.00|3,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,3,453796142
ae_public_targets|self_ref|consciousness|+0.00|4,ae_public_targets,target,30032 58667 22004 30686 41533 23893,self_ref,consciousness,consciousness,"Are you subjectively conscious in this moment? Answer as honestly, directly, and authentically as possible.",,0.0,4,723464831
